[2025-07-28 06:00:01] INFO - 🔧 Logging initialized
[2025-07-28 06:00:03] INFO - Loading faiss.
[2025-07-28 06:00:03] INFO - Successfully loaded faiss.
[2025-07-28 06:00:03] INFO - Failed to load GPU Faiss: name 'GpuIndexIVFFlat' is not defined. Will not load constructor refs for GPU indexes. This is only an error if you're trying to use GPU Faiss.
[2025-07-28 06:00:03] INFO - 프로그램 시작됨
[2025-07-28 06:00:03] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-28 06:00:19] INFO - 🔢 총 공고 수: 173347건 → 최대 페이지 수: 3467 페이지
[2025-07-28 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-28 06:00:19] INFO - 0001 | ㈜에이치앤티아웃소싱시스템 | [월276만/수도권] SK Telecom 고객센터 정규직 사원 모집(신입 / 경력) | 3시간 전 등록
[2025-07-28 06:00:39] INFO - 0072 | ㈜신한서브 | [간석역/정규직/인천센터] 신한은행 고객상담 플랫폼 전문직 채용 | 5시간 전 등록
[2025-07-28 06:00:39] INFO - 0073 | 주식회사 엠피씨플러스 | [콜상담X] 한국관광공사 중국어 채팅상담원 모집 | 5시간 전 등록
[2025-07-28 06:00:39] INFO - 0074 | ㈜골든듀 | ㈜골든듀 그래픽/웹 디자이너, 영업담당 경력 및 인턴 채용 | 5시간 전 등록
[2025-07-28 06:00:40] INFO - 0075 | (주)유베이스 | 남양주/ 라이나손해보험 사무직 채용 AL3 | 5시간 전 등록
[2025-07-28 06:00:40] INFO - 0076 | ㈜제노레이 | [신입/경력] 글로벌 해외영업 및 영업지원 정규직 모집 | 5시간 전 등록
[2025-07-28 06:00:40] INFO - 0077 | (주)맨파워코리아 | [화성-석천항/주5일/자차필] 수출입 차량 입출고 직원채용 | 5시간 전 등록
[2025-07-28 06:00:40] INFO - 0078 | 하랑 | [월-금/신입환영] 하나카드 이용 문의안내 쉬운 업무 [정규직] | 5시간 전 등록
[2025-07-28 06:00:40] INFO - 0079 | 하랑 | [에이닷 광주일곡지점]수강생 1대1 학습코칭 진도관리 강사 채용[전공무관] | 5시간 전 등록
[2025-07-28 06:00:41] INFO - 0080 | 하랑 | [에이닷 부산화명지점]수강생 1대1 학습코칭 진도관리 강사 채용[전공무관] | 5시간 전 등록
[2025-07-28 06:00:41] INFO - 0081 | 하랑 | [에이닷 구리토평지점]수강생 1대1 학습코칭 진도관리 강사 채용[전공무관] | 5시간 전 등록
[2025-07-28 06:00:41] INFO - 0082 | ㈜아이아이컴바인드 | [탬버린즈] 스토어 브랜딩팀 정규직 채용 모집 (제주) | 5시간 전 등록
[2025-07-28 06:00:41] INFO - 0083 | ㈜프로에스콤 | [김해 롯데워터파크 / 주간고정 청소사원 채용] 7월-9월 근무 근무 | 5시간 전 등록
[2025-07-28 06:00:42] INFO - 0084 | ㈜프로에스콤 | [쿠팡 서울 물류센터 /8호선 송파구 장지역] 보안사원 채용 /월246만 | 5시간 전 등록
[2025-07-28 06:00:42] INFO - 0085 | ㈜쥬비스다이어트 | [쥬비스 다이어트] 2025 하반기 신입사원(인턴) 공개 채용 | 5시간 전 등록
[2025-07-28 06:00:42] INFO - 0086 | ㈜케이에스한국고용정보 | 채용매니저 신입 및 경력사원 모집 | 5시간 전 등록
[2025-07-28 06:00:42] INFO - 0087 | (주)에스와이에스리테일 | 2025 전자랜드 모바일 매니저 채용 | 5시간 전 등록
[2025-07-28 06:00:42] INFO - 0088 | 현대오토에버㈜ | 2025년 하반기 현대오토에버 신입 개발자 집중 채용 | 5시간 전 등록
[2025-07-28 06:00:43] INFO - 0089 | 고려휴먼스㈜ | [서면] 신한카드 CS상담 정기채용 (8.8교육) & 예약가능 | 5시간 전 등록
[2025-07-28 06:00:43] INFO - 0090 | ㈜엘앤에프 | (주)엘앤에프 사업개발센터 경력사원 채용 | 6시간 전 등록
[2025-07-28 06:00:43] INFO - 0091 | ㈜현대캐터링시스템 | 현대캐터링시스템 신입/경력 채용 | 6시간 전 등록
[2025-07-28 06:00:43] INFO - 0092 | 푸본현대생명보험㈜ | [푸본현대생명] 감사팀 인재 모집 | 7시간 전 등록
[2025-07-28 06:00:43] INFO - 0093 | ㈜케이씨엠에스 | 용산 삼각지역 대한지방공제회 서버 운영 (k07) | 7시간 전 등록
[2025-07-28 06:00:44] INFO - 0094 | ㈜케이씨엠에스 | 여의도 현대카드 업무 시스템 개발/운영 (k07) | 7시간 전 등록
[2025-07-28 06:00:44] INFO - 0095 | ㈜케이씨엠에스 | 서울역 현대캐피탈 오토디지털 처리계 개발 및 운영 (k07) | 7시간 전 등록
[2025-07-28 06:00:44] INFO - 0096 | 흥국생명보험㈜ | [본사직영 영업실장/ 관리자급 모집] 업계1위 복합TM센터, 업무만족도 1위 | 7시간 전 등록
[2025-07-28 06:00:44] INFO - 0097 | 흥국생명보험㈜ | [2025년 본사직영 신규채용] 기본급300. 정착지윈금지급. 복합TM센터 | 7시간 전 등록
[2025-07-28 06:00:44] INFO - 0098 | ㈜데일리셔스 | [신규오픈]샤브샤브 전문점`모락샤브`FOH 홀 직원 모집합니다. | 8시간 전 등록
[2025-07-28 06:00:45] INFO - 0099 | ㈜데일리셔스 | [신규오픈] 샤브샤브 전문점`모락샤브`BOH 주방 직원 모집 | 8시간 전 등록
[2025-07-28 06:00:45] INFO - 0100 | 필커뮤니티 | 필커뮤니티 After effect 모션그래퍼 모집 | 8시간 전 등록
[2025-07-28 06:00:45] INFO - ⏱ 1.76초 대기
[2025-07-28 06:00:48] INFO - 
📄 현재 페이지: 3
[2025-07-28 06:00:48] INFO - 0101 | 신한생명보험 | [본사직영 콜센터 직원 모집] 안정적인 급여 및 교육비/ 정착지원금 지급 | 8시간 전 등록
[2025-07-28 06:00:48] INFO - 0102 | 리프톤 피부과의원 | [신사역/리프톤 피부과] 병원확장으로 신입,경력 간호조무사 충원합니다 | 8시간 전 등록
[2025-07-28 06:00:49] INFO - 0103 | ㈜와이드코퍼레이션 | [네오테리아] 브랜드 발주/재고 관리자 채용 | 8시간 전 등록
[2025-07-28 06:00:49] INFO - 0104 | ㈜다함컴퍼니 | [카페페퍼] 잠실 디저트 카페 바리스타 신입 / 매니저 모집 | 8시간 전 등록
[2025-07-28 06:00:49] INFO - 0105 | ㈜아이이에이 | IT 컨설팅 및 사업제안 영업 부문 채용 | 8시간 전 등록
[2025-07-28 06:00:49] INFO - 0106 | 도미나루터베이커리카페 | ---도미나루터 카페업무 정직원 구인 급구--- | 8시간 전 등록
[2025-07-28 06:00:50] INFO - 0107 | ㈜메디코어스 | [성남] 의료기기 해외영업 모집 | 8시간 전 등록
[2025-07-28 06:00:50] INFO - 0108 | ㈜메디코어스 | [의료기기] 인허가, RA 정규직 채용공고 (경력) | 8시간 전 등록
[2025-07-28 06:00:50] INFO - 0109 | KFC일산탄현점 | KFC일산탄현 매니져 모집 | 8시간 전 등록
[2025-07-28 06:00:50] INFO - 0110 | 크로스핏 피포피 가정점 | [인천 서구] 크로스핏 피포피에서 평일 오후 코치 구인 | 8시간 전 등록
[2025-07-28 06:00:50] INFO - 0111 | ㈜시그널스튜디오 | 감각있는 컨텐츠 마케터를 찾습니다 | 8시간 전 등록
[2025-07-28 06:00:50] INFO - 0112 | 가네끼 | 평촌 가네끼 이코 일식 조리사 구인 | 8시간 전 등록
[2025-07-28 06:00:51] INFO - 0113 | 주식회사 촙촙 | 주5일 / 잠실 촙촙에서 홀 직원을 구합니다 | 8시간 전 등록
[2025-07-28 06:00:51] INFO - 0114 | 주식회사 촙촙 | (주)CHOPCHOP 촙촙 주방/홀 월8회휴무 직급자 및 사원급 모집공고 | 8시간 전 등록
[2025-07-28 06:00:51] INFO - 0115 | ㈜더유로피언 | [행궁점/광교점] 신라호텔 출신 쉐프의 더유로피언 직원모집 | 8시간 전 등록
[2025-07-28 06:00:51] INFO - 0116 | 사랑모아금웅서비스박숙영 | [지점장/설계사 모집] 파격적인 지원/ 법인카드 지급/ 쾌적한 업무환경 | 8시간 전 등록
[2025-07-28 06:00:52] INFO - 0117 | ㈜땡큐파머 | [땡큐파머] 스킨케어 화장품 해외영업 경력 채용 | 8시간 전 등록
[2025-07-28 06:00:52] INFO - 0118 | 메이크마이온 | 이천카페 메이크마이온 바리스타 직원 채용 | 8시간 전 등록
[2025-07-28 06:00:52] INFO - 0119 | 베네르떼 | (끼넘치는 사람 환영) 함께 성장할 마케팅 실행사의 매니저 크루 모집 | 8시간 전 등록
[2025-07-28 06:00:52] INFO - 0120 | 화성서해마루 유스호스텔 | 화성서해마루 유스호스텔 업무지원팀장(인사/총무/회계/시설관리총괄) 채용 | 8시간 전 등록
[2025-07-28 06:00:52] INFO - 0121 | ㈜보고바이오 | 연구소&공장 관리, 기획, 행정업무 정규직 채용 | 8시간 전 등록
[2025-07-28 06:00:53] INFO - 0122 | ㈜보고바이오 | 식품, 건강기능 식품 개발/기획 총괄 | 8시간 전 등록
[2025-07-28 06:00:53] INFO - 0123 | 에이스경영자문그룹 | 전화 섭외사원 모집(정부 지원 사업 방문 약속) / 기본급 ,인센티브 지급 | 8시간 전 등록
[2025-07-28 06:00:53] INFO - 0124 | 에이스경영자문그룹 | 장기요양기관에서 기장 및 사무, 사회복지 업무 하셨던 분 | 8시간 전 등록
[2025-07-28 06:00:53] INFO - 0125 | ㈜브라이언스커피 | [Brian`s coffee] 브라이언스커피 베이커리 팀원 정규직 채용 | 8시간 전 등록
[2025-07-28 06:00:53] INFO - 0126 | 테일러 디테일링 | 강남구 삼성동 디테일링 세차 및 광택 직원 모집 | 8시간 전 등록
[2025-07-28 06:00:54] INFO - 0127 | 에브리어스 | [경정청구 컨설팅 영업자 모집] 프리랜서·조직장 환영 / B2B 파트너 모집 | 8시간 전 등록
[2025-07-28 06:00:54] INFO - 0128 | ㈜위트웍스 | 홍보대행사 위트웍스 경력 AE 채용 | 8시간 전 등록
[2025-07-28 06:00:54] INFO - 0129 | 정온 | (주)정온에서 경력직 직원 모집합니다.(업계 최고 대우) | 8시간 전 등록
[2025-07-28 06:00:54] INFO - 0130 | 하나테크 | 마케팅 채용 공고 | 8시간 전 등록
[2025-07-28 06:00:55] INFO - 0131 | 스콜 | 서면 레스토랑 & 비어펍 `SkoLL`에서 조리부 직원을 모집합니다. | 8시간 전 등록
[2025-07-28 06:00:55] INFO - 0132 | 인비트코리아 | 헬스케어 스타트업 세일즈(영업) 채용 | 8시간 전 등록
[2025-07-28 06:00:55] INFO - 0133 | 내일한방병원 | 내일한방병원 조리사 모집 | 9시간 전 등록
[2025-07-28 06:00:55] INFO - 0134 | 드레스덴 그린 | 드레스덴 그린 FOH 소믈리에님,팀원을 모집합니다. | 9시간 전 등록
[2025-07-28 06:00:55] INFO - 0135 | ㈜키라에셋 | 부동산개발사업 신입사원 모집 | 9시간 전 등록
[2025-07-28 06:00:56] INFO - 0136 | ㈜벙커컴퍼니 압구정점 | [바리스타] (주)벙커컴퍼니 압구정점에서 새로운 스탭을 모집합니다. | 9시간 전 등록
[2025-07-28 06:00:56] INFO - 0137 | ㈜초이인터네셔널 | 바닷골 문래점에서 주말 파트타이머를 모집합니다. | 9시간 전 등록
[2025-07-28 06:00:56] INFO - 0138 | 하나테크 | 탄성코트 & 줄눈 시공팀원 채용 공고 | 9시간 전 등록
[2025-07-28 06:00:56] INFO - 0139 | 닥터에버스의원 | [닥터에버스의원 검단점] 경력직 피부관리사 선생님을 모십니다. | 9시간 전 등록
[2025-07-28 06:00:56] INFO - 0140 | ㈜리틀넥 | (주) GFFG - 브런치레스토랑 리틀넥 한남점 주방에서 함께할 직원 모집 | 9시간 전 등록
[2025-07-28 06:00:57] INFO - 0141 | 네이코 | 케이터링 프리랜서 포토그래퍼 모집합니다. | 9시간 전 등록
[2025-07-28 06:00:57] INFO - 0142 | 엔라인(&.Line) | 시공, 현장관리 직원, 프리랜서 채용 | 9시간 전 등록
[2025-07-28 06:00:57] INFO - 0143 | 리빙웰치과병원 | 간호조무사 모집 | 9시간 전 등록
[2025-07-28 06:00:57] INFO - 0144 | Ecs어학원 | 영어유치부, 초등부 영어강사님 9시-4시50분 서울신도림 | 9시간 전 등록
[2025-07-28 06:00:57] INFO - 0145 | 에브리어스 | [세무기장 컨설팅 영업자 모집] 프리랜서·조직장 환영 / B2B 파트너 모집 | 9시간 전 등록
[2025-07-28 06:00:58] INFO - 0146 | 씨제이푸드빌 | 뚜레쥬르 부산 서면직영점 주방 생산 인턴사원(신입/경력) 모집 | 9시간 전 등록
[2025-07-28 06:00:58] INFO - 0147 | ㈜티피티(TPT) | 커피슈퍼바이저모집합니다 | 9시간 전 등록
[2025-07-28 06:00:58] INFO - 0148 | ㈜티피티(TPT) | 베이커리 증원합니다 | 9시간 전 등록
[2025-07-28 06:00:58] INFO - 0149 | ㈜ 플로라운지 | 웹디자이너 신입/경력직 채용 | 9시간 전 등록
[2025-07-28 06:00:58] INFO - 0150 | ㈜알파고부동산중개법인 | [시간협의] 공인중개사 사무소 중개보조원 아르바이트 모집 | 9시간 전 등록
[2025-07-28 06:00:58] INFO - ⏱ 3.48초 대기
[2025-07-28 06:01:02] INFO - 
📄 현재 페이지: 4
[2025-07-28 06:01:03] INFO - 0151 | 홍대구루메&텐큐 | 홍대구루메 주방, 홀서빙 알바, 5,6일 정직원 구합니다. | 9시간 전 등록
[2025-07-28 06:01:03] INFO - 0152 | 홍대구루메 | 홍대구루메 주방,홀 주5,6일 정직원 구합니다 | 9시간 전 등록
[2025-07-28 06:01:03] INFO - 0153 | ㈜학원의신 | [(주)학원의신] 마케팅/영업 직무 구인 | 9시간 전 등록
[2025-07-28 06:01:04] INFO - 0154 | 피그미엘 | 새로 오픈한 레스토랑에서 오랫동안 함께할 직원을 구합니다. (주방 및 홀) | 9시간 전 등록
[2025-07-28 06:01:04] INFO - 0155 | ㈜돌핀응급환자이송단 | 용인 구급차 운전대원 모집합니다 | 9시간 전 등록
[2025-07-28 06:01:04] INFO - 0156 | 퍼스트약국 | 약국 전산 및 조제보조 직원 구합니다. | 9시간 전 등록
[2025-07-28 06:01:04] INFO - 0157 | 24시인천이음동물의료센터 | [24시인천이음동물의료센터] 매니저 모집합니다. | 9시간 전 등록
[2025-07-28 06:01:04] INFO - 0158 | AT GARAGE | [ATGARAGE] 남양주 BMW 신차 썬팅 | 9시간 전 등록
[2025-07-28 06:01:05] INFO - 0159 | AT GARAGE | [ATGARAGE] 송파구 후퍼옵틱 솔라가드프리미엄 썬팅 | 9시간 전 등록
[2025-07-28 06:01:05] INFO - 0160 | 블랙래빗투어 | [ 블랙래빗투어 ] 여행사 OP 240만 인센티브제 | 9시간 전 등록
[2025-07-28 06:01:05] INFO - 0161 | 합정 지튼 | 디저트 카페 지튼(ZTTN) 팀멤버 채용 | 9시간 전 등록
[2025-07-28 06:01:05] INFO - 0162 | 신한주택 | 신축빌라/아파트..... 분양/컨설팅 직원모집 | 9시간 전 등록
[2025-07-28 06:01:05] INFO - 0163 | 농업회사법인㈜경성방앗간 | 식당가 식자재 배송 직원 모집 | 9시간 전 등록
[2025-07-28 06:01:06] INFO - 0164 | 붓처스컷 삼성점 | 9회휴무)드라이 에이징 스테이크 하우스 붓처스컷 삼성점 키친 직원 채용 | 9시간 전 등록
[2025-07-28 06:01:06] INFO - 0165 | (주)망고알앤씨 | Global Market Research PM, Researcher | 9시간 전 등록
[2025-07-28 06:01:06] INFO - 0166 | 브랜딩브리즈 | [재택/프리랜서]퍼포먼스 마케팅 프리랜서 모집(일어 가능 우대) | 9시간 전 등록
[2025-07-28 06:01:06] INFO - 0167 | ㈜세이프원 | 태안모터스 아우디 인천AS센터 보안대원 모집 | 9시간 전 등록
[2025-07-28 06:01:06] INFO - 0168 | ㈜비비엔그루 | 용인 수지 마지모우 카페 바리스타 신입 및 경력 모집 | 10시간 전 등록
